iter	Passed	Remaining
0	131	131058
1	132	66232
2	134	44620
3	135	33828
4	137	27351
5	139	23039
6	140	19950
7	142	17632
8	148	16335
9	150	14943
10	152	13732
11	154	12734
12	157	11947
13	159	11226
14	160	10562
15	162	10007
16	164	9503
17	165	9040
18	167	8624
19	168	8250
20	181	8458
21	183	8146
22	185	7895
23	187	7627
24	191	7454
25	192	7229
26	194	7012
27	196	6815
28	197	6629
29	199	6450
30	201	6285
31	202	6135
32	206	6040
33	207	5894
34	208	5760
35	210	5628
36	211	5501
37	212	5382
38	213	5269
39	215	5160
40	216	5059
41	221	5045
42	222	4956
43	224	4874
44	225	4789
45	226	4704
46	227	4619
47	228	4539
48	229	4461
49	230	4387
50	232	4317
51	233	4255
52	235	4201
53	236	4143
54	237	4087
55	239	4029
56	240	3972
57	241	3916
58	242	3862
59	243	3809
60	244	3758
61	245	3710
62	246	3663
63	247	3617
64	249	3595
65	251	3554
66	252	3513
67	253	3471
68	254	3433
69	255	3396
70	256	3358
71	257	3322
72	259	3294
73	260	3259
74	261	3224
75	262	3195
76	264	3168
77	265	3137
78	266	3105
79	267	3075
80	268	3045
81	269	3015
82	269	2982
83	270	2954
84	271	2927
85	272	2900
86	273	2874
87	274	2849
88	276	2825
89	277	2805
90	279	2787
91	280	2764
92	281	2742
93	282	2719
94	283	2697
95	284	2675
96	285	2654
97	286	2634
98	287	2615
99	288	2595
100	289	2579
101	290	2561
102	293	2553
103	294	2537
104	295	2520
105	296	2501
106	297	2483
107	298	2469
108	300	2454
109	301	2441
110	303	2432
111	305	2420
112	307	2415
113	309	2401
114	310	2387
115	311	2374
116	312	2358
117	313	2345
118	314	2331
119	316	2317
120	317	2304
121	318	2290
122	319	2277
123	321	2273
124	323	2264
125	324	2254
126	325	2240
127	327	2229
128	328	2218
129	329	2207
130	331	2196
131	332	2185
132	333	2173
133	334	2162
134	336	2156
135	337	2146
136	339	2140
137	341	2130
138	342	2121
139	343	2110
140	344	2100
141	346	2092
142	347	2085
143	349	2075
144	351	2072
145	352	2062
146	353	2053
147	355	2043
148	356	2034
149	357	2024
150	359	2023
151	363	2028
152	365	2022
153	367	2017
154	371	2027
155	373	2018
156	374	2010
157	375	2001
158	376	1993
159	378	1984
160	378	1974
161	380	1968
162	382	1962
163	383	1956
164	385	1948
165	386	1940
166	387	1932
167	388	1923
168	392	1929
169	397	1940
170	398	1934
171	400	1927
172	401	1920
173	403	1913
174	404	1907
175	405	1899
176	406	1891
177	407	1883
178	411	1887
179	413	1883
180	415	1878
181	416	1871
182	417	1865
183	419	1858
184	420	1850
185	421	1843
186	422	1838
187	423	1831
188	426	1831
189	428	1824
190	429	1818
191	430	1811
192	431	1805
193	432	1798
194	434	1792
195	435	1786
196	436	1779
197	437	1773
198	439	1767
199	441	1765
200	443	1762
201	456	1802
202	459	1804
203	462	1803
204	463	1797
205	465	1792
206	466	1787
207	470	1789
208	475	1800
209	477	1796
210	479	1791
211	480	1787
212	482	1782
213	487	1790
214	488	1785
215	491	1784
216	493	1780
217	497	1784
218	498	1779
219	500	1774
220	502	1772
221	504	1767
222	505	1762
223	507	1757
224	508	1752
225	510	1747
226	511	1743
227	513	1740
228	529	1783
229	531	1778
230	532	1773
231	534	1770
232	536	1765
233	537	1759
234	538	1753
235	539	1748
236	541	1742
237	542	1736
238	543	1730
239	544	1725
240	546	1719
241	547	1714
242	549	1710
243	550	1705
244	551	1701
245	553	1695
246	554	1689
247	577	1749
248	578	1745
249	580	1741
250	582	1737
251	583	1731
252	584	1725
253	585	1720
254	586	1714
255	588	1709
256	589	1703
257	590	1697
258	592	1694
259	594	1691
260	595	1686
261	597	1682
262	598	1677
263	599	1672
264	601	1667
265	602	1662
266	603	1656
267	604	1651
268	605	1646
269	606	1640
270	609	1640
271	611	1635
272	612	1630
273	613	1625
274	614	1619
275	615	1615
276	617	1610
277	618	1605
278	619	1600
279	620	1595
280	621	1590
281	624	1590
282	626	1586
283	627	1582
284	629	1578
285	630	1573
286	631	1567
287	632	1562
288	633	1557
289	634	1552
290	635	1547
291	636	1542
292	637	1538
293	639	1536
294	640	1531
295	642	1527
296	643	1523
297	644	1518
298	645	1513
299	646	1508
300	647	1504
301	648	1499
302	649	1494
303	650	1489
304	652	1485
305	654	1484
306	656	1480
307	657	1476
308	658	1472
309	659	1468
310	660	1463
311	661	1459
312	662	1454
313	663	1450
314	664	1445
315	665	1441
316	669	1441
317	670	1438
318	671	1434
319	672	1429
320	673	1425
321	674	1421
322	675	1416
323	676	1412
324	677	1408
325	678	1403
326	679	1399
327	683	1399
328	684	1396
329	685	1392
330	686	1388
331	688	1384
332	689	1380
333	690	1376
334	691	1372
335	692	1368
336	693	1364
337	694	1359
338	696	1357
339	698	1355
340	699	1351
341	700	1348
342	701	1344
343	703	1340
344	704	1336
345	705	1332
346	706	1328
347	707	1324
348	708	1320
349	708	1316
350	710	1313
351	712	1311
352	713	1308
353	714	1304
354	715	1300
355	717	1297
356	718	1293
357	719	1289
358	720	1285
359	721	1281
360	722	1278
361	723	1274
362	724	1270
363	726	1268
364	727	1266
365	728	1262
366	729	1258
367	730	1255
368	731	1251
369	733	1248
370	734	1244
371	735	1241
372	736	1237
373	737	1234
374	738	1230
375	739	1227
376	741	1224
377	742	1221
378	743	1218
379	744	1214
380	745	1210
381	746	1207
382	747	1203
383	748	1200
384	749	1197
385	750	1193
386	751	1190
387	752	1186
388	753	1183
389	755	1181
390	756	1178
391	757	1175
392	758	1171
393	759	1168
394	760	1165
395	761	1161
396	762	1158
397	763	1155
398	764	1151
399	765	1148
400	766	1145
401	767	1142
402	770	1141
403	771	1138
404	772	1135
405	773	1132
406	774	1128
407	775	1125
408	776	1122
409	777	1119
410	778	1116
411	779	1113
412	780	1109
413	781	1106
414	783	1103
415	784	1101
416	786	1099
417	787	1096
418	788	1093
419	789	1089
420	790	1087
421	791	1084
422	792	1080
423	793	1078
424	794	1075
425	795	1072
426	796	1069
427	797	1066
428	800	1065
429	801	1062
430	802	1059
431	803	1056
432	804	1053
433	805	1050
434	806	1047
435	807	1044
436	808	1041
437	809	1038
438	810	1035
439	811	1032
440	812	1029
441	814	1028
442	816	1026
443	817	1023
444	818	1020
445	819	1017
446	820	1015
447	821	1012
448	822	1009
449	823	1006
450	824	1003
451	825	1000
452	826	998
453	827	995
454	829	993
455	830	990
456	831	988
457	833	985
458	834	983
459	835	981
460	836	978
461	837	975
462	838	973
463	839	970
464	840	967
465	841	964
466	843	962
467	845	960
468	846	958
469	847	955
470	848	952
471	849	949
472	850	947
473	851	944
474	852	941
475	853	939
476	854	936
477	855	933
478	856	931
479	857	929
480	859	927
481	860	924
482	861	921
483	862	919
484	863	916
485	864	914
486	865	911
487	866	909
488	868	907
489	871	907
490	873	905
491	874	903
492	876	900
493	877	898
494	878	896
495	879	893
496	880	891
497	882	889
498	883	886
499	884	884
500	886	882
501	887	880
502	889	878
503	890	876
504	891	873
505	892	871
506	893	869
507	894	866
508	896	864
509	897	862
510	900	861
511	901	859
512	902	857
513	904	854
514	905	852
515	906	850
516	908	848
517	910	847
518	912	846
519	914	844
520	915	842
521	917	839
522	918	837
523	920	835
524	921	833
525	923	832
526	925	830
527	926	828
528	928	826
529	932	826
530	935	825
531	936	823
532	937	821
533	939	819
534	941	818
535	942	816
536	943	813
537	945	811
538	946	809
539	947	807
540	949	805
541	951	803
542	952	801
543	953	799
544	954	797
545	956	794
546	960	795
547	961	793
548	962	790
549	964	788
550	965	786
551	966	784
552	967	782
553	969	780
554	971	778
555	972	776
556	975	775
